SampleID,category,xsectioninpb,kfactor,filterefficiency,xsecunc
################################################################################################################,,,,,ls
,,,,,
# top,,,,,
# ttbar,,,,,
363127,MGPy8EG_N30NLO_Zmumu_Ht70_140_CFilterBVeto.rec,84.574,1.141,0.17417,1
363127,MGPy8EG_N30NLO_Zmumu_Ht70_140_CFilterBVeto.rec,84.572,1.141,0.17409,1
363128,MGPy8EG_N30NLO_Zmumu_Ht70_140_BFilter.recon.AO,84.748,1.141,0.10841,1
363128,MGPy8EG_N30NLO_Zmumu_Ht70_140_BFilter.recon.AO,84.746,1.141,0.10842,1
363128,MGPy8EG_N30NLO_Zmumu_Ht70_140_BFilter.recon.AO,84.748,1.141,0.10841,1
363129,MGPy8EG_N30NLO_Zmumu_Ht140_280_CVetoBVeto.reco,35.886,1.141,0.67447,1
363129,MGPy8EG_N30NLO_Zmumu_Ht140_280_CVetoBVeto.reco,35.879,1.141,0.67457,1
363129,MGPy8EG_N30NLO_Zmumu_Ht140_280_CVetoBVeto.reco,35.886,1.141,0.67447,1
363130,MGPy8EG_N30NLO_Zmumu_Ht140_280_CFilterBVeto.re,35.888,1.141,0.20036,1
363130,MGPy8EG_N30NLO_Zmumu_Ht140_280_CFilterBVeto.re,35.898,1.141,0.20032,1
363130,MGPy8EG_N30NLO_Zmumu_Ht140_280_CFilterBVeto.re,35.888,1.141,0.20036,1
363131,MGPy8EG_N30NLO_Zmumu_Ht140_280_BFilter.recon.A,35.88,1.141,0.12631,1
363131,MGPy8EG_N30NLO_Zmumu_Ht140_280_BFilter.recon.A,35.874,1.141,0.12633,1
363131,MGPy8EG_N30NLO_Zmumu_Ht140_280_BFilter.recon.A,35.88,1.141,0.12631,1
363132,MGPy8EG_N30NLO_Zmumu_Ht280_500_CVetoBVeto.reco,8.1928,1.141,0.62869,1
363132,MGPy8EG_N30NLO_Zmumu_Ht280_500_CVetoBVeto.reco,8.1916,1.141,0.62873,1
363132,MGPy8EG_N30NLO_Zmumu_Ht280_500_CVetoBVeto.reco,8.1928,1.141,0.62869,1
363133,MGPy8EG_N30NLO_Zmumu_Ht280_500_CFilterBVeto.re,8.1804,1.141,0.22876,1
363133,MGPy8EG_N30NLO_Zmumu_Ht280_500_CFilterBVeto.re,8.1789,1.141,0.22875,1
363133,MGPy8EG_N30NLO_Zmumu_Ht280_500_CFilterBVeto.re,8.1804,1.141,0.22876,1
363134,MGPy8EG_N30NLO_Zmumu_Ht280_500_BFilter.recon.A,8.1747,1.141,0.14307,1
